Comuna;Ubicación;Poblacion;Viviendas_(2002);Densidad_poblacional_(2002) ;Crecimiento_demográfico_(2002-2017);ICVU_(2019);RankingICVU;Pobreza_(2015)
Cerrillos;surponiente;80832;19811;4329,08;12,90%;47,82;74;19,7
Cerro Navia;norponiente;132622;35277;13482,91;-10,70%;42,42;92;35,6
Conchalí;norte;126955;32609;12070,29;-4,40%;46,52;84;21,6
El Bosque;sur;162505;42808;12270,72;-7,30%;48,54;70;27
Estación Central;surponiente;147041;32357;9036,31;16,60%;49,96;64;14,5
Huechuraba;norte;98671;16386;3493,87;33,40%;55,7;33;23,8
Independencia;norte;100281;18588;8824,66;55,40%;49,51;66;21,3
La Cisterna;sur;90119;22817;8477,89;6,00%;51,63;53;20
La Florida;suroriente;366916;97137;9356,62;0,60%;57,23;22;17
La Granja;sur;116571;32035;13212,36;-12,20%;51,97;51;24,5
La Pintana;sur;177335;44394;6189,68;-6,80%;38,08;99;42,4
La Reina;nororiente;92787;25768;4077,62;-3,80%;70,45;3;9,8
Las Condes;nororiente;294838;82099;2519,84;19,60%;74,54;2;4,8
Lo Barnechea;nororiente;105833;16124;1318,22;43,20%;69,09;4;17,3
Lo Espejo;sur;98804;24896;13349,11;-12,60%;38,82;97;28,2
Lo Prado;norponiente;96249;26361;15926,11;-7,80%;46,9;81;20,3
Macul;suroriente;116534;29870;8757,59;4,10%;61,92;8;17,5
Maipú;surponiente;521627;125939;8436,93;11,50%;55,87;30;12,5
Ñuñoa;nororiente;208237;54692;9698,16;28,20%;66,28;6;10,7
Padre Hurtado;surponiente;63250;17125;4616,85;64,20%;48,43;72;21,1
Pedro Aguirre Cerda;sur;101174;28460;12857,46;-11,60%;47,74;75;31
Peñaflor;surponiente;90201;28549;0;35,60%;55,09;35;0
Peñalolén;suroriente;241599;51542;3970,96;11,80%;54,28;42;20,7
Providencia;nororiente;142079;51183;8429,15;21,40%;68,79;5;4,6
Pudahuel;norponiente;230293;47902;10728,68;18,00%;51,11;60;20,5
Puente Alto;suroriente;568106;136593;7729,53;15,70%;48,6;69;27,1
Quilicura;norte;210410;35113;3254,11;66,60%;55,86;31;18,5
Quinta Normal;norponiente;110026;26454;8762,59;6,00%;45,93;86;13,5
Recoleta;norte;157851;36606;9357,32;7,20%;51,62;54;26,2
Renca;norponiente;147151;33451;5563,25;10,20%;46,7;82;26,2
San Bernardo;sur;297262;60723;4605,85;20,40%;51;62;22
San Joaquín;sur;94492;24233;9871,08;-2,10%;51,88;52;23,7
San Miguel;sur;107954;22655;8122,76;38,60%;58,53;17;11,6
San Ramón;sur;82900;22160;14898,9;-12,40%;41,13;93;29,5
Santiago;centro;404495;99155;8654,83;88,90%;59,27;16;11,6
Vitacura;nororiente;85384;23878;2846,63;6,20%;75,59;1;2,8
